"No. Contrato","Nombre de la Obra","Tipo de Obra","Inicio de Ejecucion","Termino de Ejecucion","Geolocalización P1","Geolocalización P2","Geolocalización P3","Geolocalización P4","Geolocalización P5","Geolocalización P6","Geolocalización P7","Geolocalización P8","Geolocalización P9","Geolocalización P10","Geolocalización P11","Geolocalización P12","Geolocalización P13","Geolocalización P14","Geolocalización P15"
"MT/DGOP/FAISMUN/LPN-050/2026","REHABILITACIÓN DE PAVIMENTACIÓN CON 
CARPETA ASFÁLTICA EN LA AVENIDA 
VICENTE LOMBARDO TOLEDANO, 1ª ETAPA, 
DEL TRAMO COMPRENDIDO ENTRE CALLE 
REVOLUCIÓN Y CALLE INDEPENDENCIA, 
DELEGACIÓN SAN MATEO OTZACATIPAN, 
MUNICIPIO DE TOLUCA. ","PAVIMENTACION","16/5/2026","16/7/2026","","","","","","","","","","","","","","",""
"MT/DGOP/FAISMUN/LPN-076/2026","CONSTRUCCIÓN DE SENDERO SEGURO EN LA CALLE JOSÉ MARÍA MORELOS Y PAVÓN, EN EL TRAMO COMPRENDIDO DESDE CARRETERA TOLUCA - ATLACOMULCO HASTA CALLE HEROES DE LA INDEPENDENCIA, DELEGACIÓN SAN CAYETANO MORELOS, MUNICIPIO DE TOLUCA.","SENDERO ","","","19.398574812599406, -99.71169928586774","19.398699008661527, -99.70938057486401","19.3984105951816, -99.7085276323967","19.39845200915197, -99.70471742030315","19.39924640973446, -99.70453503008808","19.39952058406009, -99.7024659477054","","","","","","","","",""
"MT/DGOP/AVGFDyFCI/LPN-077/2026","RECUPERACIÓN DE ESPACIOS PÚBLICOS CON PERSPECTIVA DE GÉNERO EN LA CALLE MANUEL BUENDÍA TÉLLEZ GIRÓN, EN EL TRAMO COMPRENDIDO DEL CADENAMIENTO 0+000 (CONCRETO EXISTENTE) A CALLE INDEPENDENCIA, CADENAMIENTO 0+000 AL 3+157, MUNICIPIO DE TOLUCA.","SENDERO ","","","19.316745145667582, -99.6443950185746","19.32283234155419, -99.64401766928239","19.325568110908716, -99.64396956914312","19.327558290434023, -99.64341575955147","19.329297887948577, -99.64276332633511","19.332705440868658, -99.64183778153769","19.33583374096225, -99.64166329359358","19.338854605434733, -99.64219434388674","19.34065134902211, -99.64225503534912","19.341231170427363, -99.64280884493981","19.343571909946508, -99.64368128470747","19.346678527693015, -99.64387853196193","19.351116415415444, -99.643408225299","19.35636583697727, -99.64340255911776","19.35867799548334, -99.64381725770245"
"","CONSTRUCCIÓN DE SENDERO SEGURO EN PASEO VICENTE LOMBARDO TOLEDANO, EN EL TRAMO COMPRENDIDO DE CALLE MIGUEL HIDALGO Y CALLE REVOLUCIÓN, DELEGACIÓN SAN LORENZO TEPALTITLÁN, MUNICIPIO DE TOLUCA.","SENDERO ","","","19.303494177469855, -99.62276088540557","19.304312201087857, -99.6186453529952","19.3065385206562, -99.60814294709527","19.305882904344667, -99.6047056261635","19.308592592582563, -99.5898972979894","19.309094939861136, -99.58589160112564","19.309374044496735, -99.58456820066412","19.309425130488286, -99.5837584905377","","","","","","",""
"","REHABILITACIÓN DE PAVIMENTACIÓN DE CARPETA ASFÁLTICA A TRAVES DE SLURRY EN LA CALLE ALPINISMO, DEL TRAMO COMPRENDIDO ENTRE CALLE VENUSTIANO CARRANZA Y AVENIDA AL PACÍFICO, DELEGACIÓN SAN BUENAVENTURA, MUNICIPIO DE TOLUCA.","SLURRY","","","19.27310125279768, -99.68541016246763","19.266938047491777, -99.68924884273987","19.260760950668942, -99.69318762947884","19.256784211370622, -99.69564327747496","","","","","","","","","","",""
"","REHABILITACIÓN DE PAVIMENTACIÓN DE CARPETA ASFÁLTICA A TRAVÉS DE SLURRY EN LA CALLE FELIPE VILLANUEVA, DEL TRAMO COMPRENDIDO ENTRE AVENIDA JOSÉ MARÍA MORELOS Y PAVÓN Y AVENIDA SEBASTIÁN LERDO DE TEJADA, DELEGACIÓN CIUDAD UNIVERSITARIA, MUNICIPIO DE TOLUCA.","SLURRY","","","19.287919348056086, -99.66557328124226","19.289757321638124, -99.66559473891361","19.29089148789352, -99.6656376542564","19.291439120822936, -99.66566447634597","","","","","","","","","","",""
"","REHABILITACIÓN DE PAVIMENTACIÓN DE CARPETA ASFÁLTICA A TRAVES DE SLURRY EN LA CALLE SOR JUANA INÉS DE LA CRUZ, DEL TRAMO COMPRENDIDO ENTRE AVENIDA MORELOS Y CALLE SANTOS DEGOLLADO, DELEGACIÓN CENTRO HISTÓRICO, MUNICIPIO DE TOLUCA.","SLURRY","","","19.288226991738608, -99.65148194622095","19.289000186625483, -99.65146865030651","19.28914919008066, -99.65153597525583","19.289911735068372, -99.65153365370506","19.29181876292461, -99.65155590758687","19.292172027047624, -99.65159202242894","19.293598474591455, -99.65161854940322","19.2938804631193, -99.65162183257068","","","","","","",""
"","REHABILITACIÓN DE PAVIMENTACIÓN DE CARPETA ASFÁLTICA A TRAVES DE SLURRY EN LA CALLE IGNACIO LÓPEZ RAYÓN, EN EL TRAMO COMPRENDIDO ENTRE CALLE VALENTÍN GÓMEZ FARÍAS Y CALLE SANTOS DEGOLLADO, DELEGACIÓN CENTRO HISTÓRICO, MUNICIPIO DE TOLUCA.","SLURRY","","","19.285391694578337, -99.65276855975517","19.28622557462007, -99.65280721100484","19.29003530997922, -99.6529010783322","19.293245633738536, -99.65293972958509","19.29389186014164, -99.65301151048124","","","","","","","","","",""
